ellipse,gt1,gt2,projected
2.037012687214810658e+00,3.962342185124526628e-01,3.199646478247455406e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.655813847444550735e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.567572177892379237e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.596817934279781248e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,4.091334348991233050e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.981485490160446616e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.981485490160446616e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.981485490160446616e+00,1.778602331773138101e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.846317558373856915e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.666176392321342181e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.901868737104115858e+00,2.486355851464646689e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.198454980077672261e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.198454980077672261e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
