ellipse,gt1,gt2,projected
5.200782005905696392e-01,2.636255788827444012e-03,8.583261874319392248e-01,3.807485546824346598e-07
5.200782005905696392e-01,2.636255788827444012e-03,7.942907993544141565e-01,3.807485546824346598e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.750756337167231669e-01,3.618772013911973158e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.968293720257519919e-01,3.618772013911973158e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.662300046629992867e-01,3.618772013911973158e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.968293720257519919e-01,3.618772013911973158e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.740001778380314335e-01,3.618772013911973158e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.633889704364541506e-01,3.618772013911973158e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.750756337167231669e-01,3.618772013911973158e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
4.963886814890050014e-01,6.337401381085763091e-03,7.740001778380314335e-01,3.618772013911973158e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
4.390279192980934830e-01,5.028556377382375348e-03,7.821443112977348733e-01,1.884947759648351918e-07
4.390279192980934830e-01,5.028556377382375348e-03,7.821443112977348733e-01,1.884947759648351918e-07
5.079329205408338321e-01,6.838502065243457113e-03,6.940511085945758607e-01,2.074997695713906726e-07
4.390279192980934830e-01,5.028556377382375348e-03,7.821443112977348733e-01,1.884947759648351918e-07
4.390279192980934830e-01,2.072773483512689585e-02,7.821443112977348733e-01,1.884947759648351918e-07
4.390279192980934830e-01,5.028556377382375348e-03,7.821443112977348733e-01,1.884947759648351918e-07
4.390279192980934830e-01,1.486021289501703556e-02,7.821443112977348733e-01,1.884947759648351918e-07
4.390279192980934830e-01,5.028556377382375348e-03,7.821443112977348733e-01,1.884947759648351918e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.218716052456149779e-01,3.125154975883175522e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.218716052456149779e-01,3.125154975883175522e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.218716052456149779e-01,3.125154975883175522e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.218716052456149779e-01,3.125154975883175522e-07
4.390279192980934830e-01,5.028556377382375348e-03,7.821443112977348733e-01,1.884947759648351918e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.170825746053879124e-01,3.125154975883175522e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.170825746053879124e-01,3.125154975883175522e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.127882768011726045e-01,3.125154975883175522e-07
4.806102526705846034e-01,1.857471755760259574e-03,8.349288582812043336e-01,5.052015701814856250e-07
4.806102526705846034e-01,1.857471755760259574e-03,8.058094008798155627e-01,5.052015701814856250e-07
4.806102526705846034e-01,1.857471755760259574e-03,8.088075648560075770e-01,5.052015701814856250e-07
4.806102526705846034e-01,1.857471755760259574e-03,7.937106262788449218e-01,5.052015701814856250e-07
4.806102526705846034e-01,1.857471755760259574e-03,8.078737281592180963e-01,5.052015701814856250e-07
4.824347894120092350e-01,5.160337767649566393e-03,8.218716052456149779e-01,3.125154975883175522e-07
4.806102526705846034e-01,1.857471755760259574e-03,8.220549348186706462e-01,5.052015701814856250e-07
4.806102526705846034e-01,1.857471755760259574e-03,8.129000749927172143e-01,5.052015701814856250e-07
4.888467835986514132e-01,1.979498118612330743e-02,8.402418727945799581e-01,3.947389204494742213e-07
4.888467835986514132e-01,5.862833729621380260e-03,8.402418727945799581e-01,3.947389204494742213e-07
4.888467835986514132e-01,1.633002224601850724e-02,8.402418727945799581e-01,3.947389204494742213e-07
4.888467835986514132e-01,5.862833729621380260e-03,8.402418727945799581e-01,3.947389204494742213e-07
4.888467835986514132e-01,5.862833729621380260e-03,8.402418727945799581e-01,3.947389204494742213e-07
