found_mc_x,found_mc_y,another_mc_x,another_mc_y,real_mc_x,real_mc_y
7.990000000000000000e+02,5.540000000000000000e+02,7.620000000000000000e+02,5.200000000000000000e+02,7.623098635430216063e+02,5.199145959075758583e+02
6.980000000000000000e+02,4.950000000000000000e+02,7.220000000000000000e+02,5.190000000000000000e+02,6.984146853110851225e+02,4.943218421771077260e+02
8.040000000000000000e+02,4.490000000000000000e+02,7.700000000000000000e+02,4.430000000000000000e+02,7.704685976833159202e+02,4.432802671114964141e+02
8.440000000000000000e+02,5.250000000000000000e+02,8.180000000000000000e+02,4.990000000000000000e+02,8.184598418575259302e+02,4.991972449741684272e+02
8.530000000000000000e+02,5.090000000000000000e+02,8.340000000000000000e+02,4.310000000000000000e+02,8.337742795357033856e+02,4.313672085254153785e+02
7.170000000000000000e+02,4.620000000000000000e+02,7.300000000000000000e+02,4.400000000000000000e+02,7.304396163679020901e+02,4.403571019980428218e+02
7.550000000000000000e+02,2.740000000000000000e+02,7.210000000000000000e+02,2.900000000000000000e+02,7.205265166841015798e+02,2.897997027314232810e+02
