avg_err,r_error,t_error
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.232133690070626342e-01,1.888106576470354944e-02,4.079003719195328226e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
9.946231608210512887e-01,3.037071688028265132e-02,4.662484454603501027e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
1.006850310622208866e+00,3.144490004847749764e-02,4.757927826745600441e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
8.925775515434627438e-01,2.921649421772938918e-02,4.534673802213082250e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
9.152637326797027351e-01,3.128651752197762065e-02,4.709530631592635519e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
1.087834009284031955e+00,2.977770258889459593e-02,4.743945378552414938e-01
9.723862626317968383e-01,2.536448192455158582e-02,4.328229564340218549e-01
9.723862626317968383e-01,2.536448192455158582e-02,4.328229564340218549e-01
9.723862626317968383e-01,2.536448192455158582e-02,4.328229564340218549e-01
9.723862626317968383e-01,2.536448192455158582e-02,4.328229564340218549e-01
