avg_err,r_error,t_error
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
1.720099269014421211e-05,2.171532499776747982e-08,2.350471924626251316e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.100030812418392532e-05,4.637742268283229789e-09,1.129944730382033112e-07
2.082823110517295691e-05,1.990550484771760176e-08,7.018617079125055875e-08
2.082823110517295691e-05,1.990550484771760176e-08,7.018617079125055875e-08
2.082823110517295691e-05,1.990550484771760176e-08,7.018617079125055875e-08
2.082823110517295691e-05,1.990550484771760176e-08,7.018617079125055875e-08
