avg_err,r_error,t_error
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.052336858350414350e-01,1.266790547548089828e-03,7.267752314516655494e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
4.319145519266539557e-01,2.100977791537779189e-04,1.381662252092240827e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
3.889286855845786040e-01,1.196864225952360512e-03,5.724501287801631380e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.183540660127207378e-01,1.400846533484713516e-03,8.193111013603022671e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
4.230381758940804371e-01,6.435285041439017372e-04,1.586771620598351196e-03
